# revision=b417ed538d0c7c9c2e49bf9914340c81663c360f
# architecture=x86_64 vendor=amd family=25 model=17 stepping=1 microarchitecture="" features=511
# cache_line_bytes=64 l1_data_bytes=32768 l2_bytes=1048576 l3_bytes=33554432 physical_cores=2 logical_cores=4
# requested_threads=4 effective_threads=4 affinity=none spin=adaptive spin_iterations=10000 spin_duration_ns=0 uses_smt=1 uses_efficiency_cores=0 nested=0
# visible_processors=0:0 0:1 0:2 0:3 
dtype,workload,m,n,k,trans_a,trans_b,configuration,tile_m,tile_n,tile_k,pack_b_minimum_elements,repetition,duration_ns
1,deep,32,64,513,0,0,3,64,256,64,16384,6,857323
1,deep,32,64,513,0,0,4,64,256,256,0,6,855911
1,deep,32,64,513,0,0,5,64,256,256,9223372036854775807,6,846557
1,wide,32,512,128,0,0,0,64,256,256,16384,0,780077
1,wide,32,512,128,0,0,1,32,256,256,16384,0,809451
1,wide,32,512,128,0,0,2,64,64,256,16384,0,591465
1,wide,32,512,128,0,0,3,64,256,64,16384,0,743532
1,wide,32,512,128,0,0,4,64,256,256,0,0,802591
1,wide,32,512,128,0,0,5,64,256,256,9223372036854775807,0,2090108
1,wide,32,512,128,0,0,6,32,64,128,16384,0,595481
1,wide,32,512,128,0,0,1,32,256,256,16384,1,793458
1,wide,32,512,128,0,0,2,64,64,256,16384,1,629803
1,wide,32,512,128,0,0,3,64,256,64,16384,1,744554
1,wide,32,512,128,0,0,4,64,256,256,0,1,802831
1,wide,32,512,128,0,0,5,64,256,256,9223372036854775807,1,1832422
1,wide,32,512,128,0,0,6,32,64,128,16384,1,808700
1,wide,32,512,128,0,0,0,64,256,256,16384,1,784875
1,wide,32,512,128,0,0,2,64,64,256,16384,2,588070
1,wide,32,512,128,0,0,3,64,256,64,16384,2,744434
1,wide,32,512,128,0,0,4,64,256,256,0,2,810563
1,wide,32,512,128,0,0,5,64,256,256,9223372036854775807,2,2089677
1,wide,32,512,128,0,0,6,32,64,128,16384,2,601209
1,wide,32,512,128,0,0,0,64,256,256,16384,2,771695
1,wide,32,512,128,0,0,1,32,256,256,16384,2,807808
1,wide,32,512,128,0,0,3,64,256,64,16384,3,766517
1,wide,32,512,128,0,0,4,64,256,256,0,3,813978
1,wide,32,512,128,0,0,5,64,256,256,9223372036854775807,3,2087985
1,wide,32,512,128,0,0,6,32,64,128,16384,3,590844
1,wide,32,512,128,0,0,0,64,256,256,16384,3,780258
1,wide,32,512,128,0,0,1,32,256,256,16384,3,809261
1,wide,32,512,128,0,0,2,64,64,256,16384,3,600799
1,wide,32,512,128,0,0,4,64,256,256,0,4,772977
1,wide,32,512,128,0,0,5,64,256,256,9223372036854775807,4,2085671
1,wide,32,512,128,0,0,6,32,64,128,16384,4,589482
1,wide,32,512,128,0,0,0,64,256,256,16384,4,790583
1,wide,32,512,128,0,0,1,32,256,256,16384,4,808991
1,wide,32,512,128,0,0,2,64,64,256,16384,4,591185
1,wide,32,512,128,0,0,3,64,256,64,16384,4,740348
1,wide,32,512,128,0,0,5,64,256,256,9223372036854775807,5,2090038
1,wide,32,512,128,0,0,6,32,64,128,16384,5,600549
1,wide,32,512,128,0,0,0,64,256,256,16384,5,786297
1,wide,32,512,128,0,0,1,32,256,256,16384,5,796582
1,wide,32,512,128,0,0,2,64,64,256,16384,5,602621
1,wide,32,512,128,0,0,3,64,256,64,16384,5,736652
1,wide,32,512,128,0,0,4,64,256,256,0,5,808129
1,wide,32,512,128,0,0,6,32,64,128,16384,6,590484
1,wide,32,512,128,0,0,0,64,256,256,16384,6,784754
1,wide,32,512,128,0,0,1,32,256,256,16384,6,802621
1,wide,32,512,128,0,0,2,64,64,256,16384,6,590062
1,wide,32,512,128,0,0,3,64,256,64,16384,6,739547
1,wide,32,512,128,0,0,4,64,256,256,0,6,802061
1,wide,32,512,128,0,0,5,64,256,256,9223372036854775807,6,2091790
