# revision=b417ed538d0c7c9c2e49bf9914340c81663c360f
# architecture=x86_64 vendor=amd family=25 model=17 stepping=1 microarchitecture="" features=511
# cache_line_bytes=64 l1_data_bytes=32768 l2_bytes=1048576 l3_bytes=33554432 physical_cores=2 logical_cores=4
# requested_threads=1 effective_threads=1 affinity=none spin=adaptive spin_iterations=10000 spin_duration_ns=0 uses_smt=0 uses_efficiency_cores=0 nested=0
# visible_processors=0:0 0:1 0:2 0:3
dtype,workload,m,n,k,trans_a,trans_b,configuration,tile_m,tile_n,tile_k,pack_b_minimum_elements,repetition,duration_ns
1,large,256,256,256,0,0,0,64,256,256,16384,0,11923244
1,large,256,256,256,0,0,1,32,256,256,16384,0,12038847
1,large,256,256,256,0,0,2,64,64,256,16384,0,11909264
1,large,256,256,256,0,0,3,64,256,64,16384,0,11860110
1,large,256,256,256,0,0,4,64,256,256,0,0,11899078
1,large,256,256,256,0,0,5,64,256,256,9223372036854775807,0,15747891
1,large,256,256,256,0,0,6,32,64,128,16384,0,11856074
1,large,256,256,256,0,0,1,32,256,256,16384,1,11800902
1,large,256,256,256,0,0,2,64,64,256,16384,1,11821231
1,large,256,256,256,0,0,3,64,256,64,16384,1,11861512
1,large,256,256,256,0,0,4,64,256,256,0,1,12098035
1,large,256,256,256,0,0,5,64,256,256,9223372036854775807,1,15739319
1,large,256,256,256,0,0,6,32,64,128,16384,1,11852288
1,large,256,256,256,0,0,0,64,256,256,16384,1,12146307
1,large,256,256,256,0,0,2,64,64,256,16384,2,12424514
1,large,256,256,256,0,0,3,64,256,64,16384,2,13299811
1,large,256,256,256,0,0,4,64,256,256,0,2,12845773
1,large,256,256,256,0,0,5,64,256,256,9223372036854775807,2,16362671
1,large,256,256,256,0,0,6,32,64,128,16384,2,11860670
1,large,256,256,256,0,0,0,64,256,256,16384,2,12066929
1,large,256,256,256,0,0,1,32,256,256,16384,2,11806259
1,large,256,256,256,0,0,3,64,256,64,16384,3,11863414
1,large,256,256,256,0,0,4,64,256,256,0,3,11915522
1,large,256,256,256,0,0,5,64,256,256,9223372036854775807,3,15790876
1,large,256,256,256,0,0,6,32,64,128,16384,3,12325345
1,large,256,256,256,0,0,0,64,256,256,16384,3,12155111
1,large,256,256,256,0,0,1,32,256,256,16384,3,12222532
1,large,256,256,256,0,0,2,64,64,256,16384,3,11862273
1,large,256,256,256,0,0,4,64,256,256,0,4,11889713
1,large,256,256,256,0,0,5,64,256,256,9223372036854775807,4,15747591
1,large,256,256,256,0,0,6,32,64,128,16384,4,11856845
1,large,256,256,256,0,0,0,64,256,256,16384,4,12153779
1,large,256,256,256,0,0,1,32,256,256,16384,4,12150374
1,large,256,256,256,0,0,2,64,64,256,16384,4,12081741
1,large,256,256,256,0,0,3,64,256,64,16384,4,11890304
1,large,256,256,256,0,0,5,64,256,256,9223372036854775807,5,15716484
1,large,256,256,256,0,0,6,32,64,128,16384,5,11867150
1,large,256,256,256,0,0,0,64,256,256,16384,5,12160909
1,large,256,256,256,0,0,1,32,256,256,16384,5,12043794
1,large,256,256,256,0,0,2,64,64,256,16384,5,12017124
1,large,256,256,256,0,0,3,64,256,64,16384,5,11881512
1,large,256,256,256,0,0,4,64,256,256,0,5,12154851
1,large,256,256,256,0,0,6,32,64,128,16384,6,11847310
1,large,256,256,256,0,0,0,64,256,256,16384,6,12153698
1,large,256,256,256,0,0,1,32,256,256,16384,6,12170253
1,large,256,256,256,0,0,2,64,64,256,16384,6,12454188
1,large,256,256,256,0,0,3,64,256,64,16384,6,11916023
1,large,256,256,256,0,0,4,64,256,256,0,6,12020919
